Title,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Filming Locations,Budget, Action, Adult, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,English,Spanish,Japanese,German,Hindi,Filipino,French,Tagalog,Thai,Tamil,Turkish,Russian,Indonesian,Italian,Mandarin,Korean,Swedish,Portuguese,Telugu,Chinese,Malayalam,Malay,Cantonese,Kannada,Danish,Norwegian,Dutch,Arabic,Romanian,Hungarian,Vietnamese,Latin,Serbian,Catalan,Ukrainian,Persian,American Sign Language,Bulgarian,Polish,Bengali
The Strange House (2015),0.5999999999999659,0.16901408450704225,0.2666666666666667,5.3,0.4464285714285714,"Directed by Danny Pang. With Siu-Fai Cheung, Yi Song, Zitian Tian, Jiao Xu. A young girl pretending to be the deceased granddaughter of an ailing grandmother begins experiencing horrific visions of the dead granddaughter, causing her to slowly succumb to the insanity of illusion and reality merging.",0.8767873440827502,0.9358974358974359,0.0030131526474376454,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rise of the Animals (2011),0.0,0.9295774647887324,0.2,3.6,0.34523809523809523,"Directed by Chris Wojcik. With Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston. In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams.",0.3553392150897475,0.8974358974358974,3.6836842299141274e-05,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When Death Calls (2012),0.0,0.9295774647887324,0.2,5.9,0.47023809523809523,"Directed by Jim Haggerty. With Suzi Lorraine, Tina Krause, Nathalie Bryant, Jae Mosc. Disc jockey Roxy Richards encourages her listeners to call in and share scary stories during a live broadcast on Halloween night: A psycho stalks an elementary school teacher, an adulterous one night stand goes horrifically awry, a young couple who decide to stay in find themselves in great danger, an engaged woman gets terrorized by a predatory monster that lives in the basement of her ...",0.9038637055065409,0.9358974358974359,0.0002249947380262881,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Medicine (2013),0.19999999999998863,0.9295774647887324,0.2,2.8,0.3571428571428571,"Directed by Tariq Nasheed. With Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks. A middle school in a small college town was recently shut down because of mysterious toxins found on the premise. These toxins were cause by a secret eugenics program gone wrong. Tonight, a group of college friends discover the abandoned school, and decide to explore it just for fun. Once inside, they soon realize that that school is not so abandoned.",0.7359294189230301,0.8974358974358974,0.0004131526337534349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexy Durga (2017),1.0,0.9295774647887324,0.2,5.9,0.43452380952380953,"Directed by Sanal Kumar Sasidharan. With Rajshri Deshpande, Bilas Nair, Arun Sol, Sujish. Durga, a north Indian migrant and a Keralite youth named Kabeer are running away on a midnight. They are waiting for a transport to the nearest railway station to catch a train to a distant place. Two small time gangsters, transporting arms, offer assistance to the couple. The hapless ""Durga"" encounters a cross section of the society through the rest of the night. Parallel to the journey of Durga...",0.7785214481289929,0.41025641025641024,0.0006013105294805817,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circus of the Dead (2014),1.0,0.9295774647887324,0.2,6.0,0.5357142857142857,"Directed by Billy 'Bloody Bill' Pon. With Bill Oberst Jr., Parrish Randall, Chanel Ryan, Roger Edwards. A man becomes entangled in a deadly morality game when the circus comes to town and a sadistic clown forces him to examine the things in life he takes for granted in the most horrific ways.",0.12017036811682384,0.8974358974358974,0.0007894684252077286,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Resurrection (2014),0.5999999999999659,0.9154929577464789,0.2,2.7,0.44047619047619047,"Directed by Jake Hawkins, Andy Phelps. With Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage. 15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life.",0.3036203224825068,0.8846153846153846,0.0005281052659373962,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falling (2016),0.8000000000000114,0.9295774647887324,0.375,7.1,0.5535714285714286,"Directed by Ali Askari. With Josh Helman, Yael Stone, Jennifer Allcott, Paul Sorvino. After the death of his wife, Sarah, young widower Malcolm is reluctantly trying to put his life back together with the help of his plucky sister-in-law, Dee. When he meets Nya, a free spirited young woman, things seem to be looking up... until he starts seeing his dead wife everywhere, and she's not too happy about the fact that he's dating again.",0.4937633100091268,0.8974358974358974,0.0002667421066670637,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Behavior (2015),0.5999999999999659,0.9295774647887324,0.55,5.25,0.30952380952380953,"Directed by Curtis Everitt. With John Langston, Amelia Blue, Rex Roby, Peyton Hicks. Turner takes his friends out to a cabin in the woods. When they get there, they find out that their bad behavior will give way to a sinister turn of events.",0.47824764222695465,0.8974358974358974,5.378947396731303e-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil's Tower (2014),0.39999999999997726,0.9154929577464789,0.7250000000000001,3.4,0.41666666666666663,"Directed by Owen Tooth. With Jason Mewes, Roxanne Pallett, Frances Ruffelle, Jessica-Jane Stafford. When Sid's friend goes missing, he and new girl Sarah investigate disappearances in their tower block. Uncovering the secret of a vengeful ghost possessing a horde of zombies, they must fight for their lives - and their souls.",0.42135686035898995,0.8846153846153846,0.015789468504155097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
