Title,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Filming Locations,Budget, Action, Adult, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,English,Spanish,Japanese,German,Hindi,Filipino,French,Tagalog,Thai,Tamil,Turkish,Russian,Indonesian,Italian,Mandarin,Korean,Swedish,Portuguese,Telugu,Chinese,Malayalam,Malay,Cantonese,Kannada,Danish,Norwegian,Dutch,Arabic,Romanian,Hungarian,Vietnamese,Latin,Serbian,Catalan,Ukrainian,Persian,American Sign Language,Bulgarian,Polish,Bengali
Hooked Up (2013),0.39999999999997726,0.9295774647887324,0.2,4.0,0.3928571428571428,"Directed by Pablo Larcuen. With Jonah Ehrenreich, Júlia Molins, Stephen Ohl, Natascha Wiese. Looking for a good time, two friends on a trip to Barcelona befriend a couple of girls but it's not fun they find, instead they get trapped in a house haunted by a devilish ghost bent on tearing apart anyone that enters her dwelling.",0.4840279890477639,0.9358974358974359,0.012280696555863316,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror House (2012),0.0,0.9295774647887324,0.7000000000000001,5.1,0.45238095238095233,"Directed by Evan Marlowe. With Lloyd Kaufman, Alyssa Hunter, Katelyn Hunter, Catharina Christie. Five different moments in time within one house, home to secrets, death and lies. The question is, 'Would you live here?'",0.5978095527836933,0.8974358974358974,0.013157889542936261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medusa (2015),0.5999999999999659,0.9295774647887324,0.5333333333333333,6.8,0.4642857142857143,"Directed by Jorge Ameer. With Jeff Allen, Tom Struckhoff, Britt Rose, Jorge Ameer. A dedicated mythology professor finds an evil witch doctor who summons the spirit of the gorgon Medusa.",0.4304837237602677,0.9358974358974359,0.014035082530009206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wax (2014),0.39999999999997726,0.9295774647887324,0.3666666666666667,3.9,0.47619047619047616,"Directed by Víctor Matellano. With Jimmy Shaw, Jack Taylor, Geraldine Chaplin, Denis Rafter. Young journalist Mike gets an assignment to spend one whole evening in a spooky wax museum. Initially believing to be alone inside the place, Mike eventually finds himself being terrorized by the malevolent presence of sadistic cannibal surgeon Dr. Knox.",0.4609066017645269,0.8076923076923077,0.01491227551708215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonah Lives (2015),0.5999999999999659,0.9295774647887324,0.2,3.2,0.48809523809523814,"Directed by Luis Carvalho. With Brinke Stevens, Jocelyn Padilla, Ryan Boudreau, Nicole Lasala. A story of revenge from beyond the grave, centering on a group of teenagers who unknowingly supply the catalyst for the murdered Jonah's return from the grave. A day like any other in a town not unlike that found all across the country, like minded teens hanging out, laughing, enjoying each other's company. When the darkness takes over the day and boredom sets in, they retreat to their basement ...",0.14420444174018862,0.8974358974358974,0.015789468504155097,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model Hunger (2016),0.8000000000000114,0.9295774647887324,0.35000000000000003,5.4,0.48511904761904767,"Directed by Debbie Rochon. With Lynn Lowry, Mary Bogle, Babette Bombshell, Bob Bozek. A former model (Lynn Lowry) forced into retirement due to her age exacts her revenge on young beautiful women in this horror thriller.",0.6121083054456952,0.8974358974358974,0.010526310581717425,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self Storage (2013),0.19999999999998863,0.9295774647887324,0.5,3.2,0.4821428571428571,"Directed by Tom DeNucci. With Eric Roberts, Michael Berryman, Jonathan Silverman, Tom DeNucci. The friends of a night watchman, at a highly secured self storage facility, are home from college and looking to party.",0.3078795254031031,0.8974358974358974,0.005263152659279751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vatican Exorcisms (2013),0.19999999999998863,0.6338028169014085,0.5,2.5,0.38095238095238093,"Directed by Joe Marino. With Piero Maggiò, Joe Marino, Anella Vastola. The Vatican Exorcisms was shot by Joe Marino, an American film-maker who went to Italy to shed light on the phenomenon of exorcisms. Accompanied by Padre Luigi, a true exorcist, Joe travels to the south of Italy, a place where the sacred and profane have always lived together, where Christian rituals are inextricably linked to the pagan ones.",0.763614237906906,0.9358974358974359,0.005789468451523518,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster X (2017),1.0,0.9295774647887324,0.44000000000000006,4.6,0.4384920634920635,"Directed by Jaysen P. Buterin, Daniel B. Iske, Patrick Rea. With Matt Tatroe. Two friends hide in an old theater to escape ravenous hordes of vampires, zombies and werewolves.",0.6513538180711895,0.9358974358974359,0.0029131526469113296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groundhog (2017),1.0,0.9295774647887324,0.38,8.9,0.49603174603174605,"Directed by David McDonough. With Lilith Astaroth, James Balsamo, Ken Holmes, Marcus Koch. Witness a man, Logan Tanner. Who years ago, lost everything he holds dear, during the dawn of a long winter. Now, watch as the cracks begin to show. Until he reaches his breaking point. On a homicidal mission, slashing through everyone, and everything that gets in his way. Ensuring he reaches his ultimate goal, the death of the GROUNDHOG! This year, the prediction will be six more weeks of ...",0.5902038332826285,0.8974358974358974,3.6836842299141274e-05,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candie's Harem (2015),0.5999999999999659,0.9295774647887324,0.32000000000000006,8.3,0.5535714285714286,"Directed by Michael Wade Johnson. With Portia Chellelynn, James Matthew Fuller, Joe DeBartolo, Joel D. Young. Candie is a bisexual who has a perfect setup with multiple partners until everyone starts dying around her.",0.7675692120474596,0.8974358974358974,1.8415789570609417e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Ghosts (2015),0.5999999999999659,0.8450704225352113,0.26,6.45,0.5625,"Directed by Andreas Marawell. With Sandra Karinsdotter, Kaarina Lindblom, Johan Sjöberg, Sören Tolinsson. In an attempt to reunite with her dead girlfriend, Maya evokes dark forces through occult rituals, with devastating results. She has opened a portal to hell and must now fight to survive against a small band of angry and deadly spirits, who twist and turn her reality into a living nightmare.",0.8329783997566169,0.9358974358974359,5.788947398889197e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsterland (2016),0.8000000000000114,0.9295774647887324,0.2,4.6,0.5714285714285714,"Directed by Erik Gardner, Andrew Kasch, Josh LaCasse. With Steven Barton, Jon Condit, Kaye Marie DeLancey, Eileen Dietz. Welcome to Monsterland! A terrifying place where savage beasts, carnivorous creatures, and grotesque abominations are the new normal; and the human race is now at the bottom of the food chain.",0.8956495284453909,0.9358974358974359,9.736315840717451e-05,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Goblin (2017),1.0,0.9295774647887324,0.27142857142857146,5.133333333333333,0.3035714285714286,"Directed by Wyatt Michael. With Robert Levey II, Nicole Hargrove, Josh Collins, Wyatt Michael. A boy imprisoned by an abusive recluse mother alone in a mansion in the 1920s begins to get ideas of his own when a goblin in his closet comforts him in the dark.",0.805293580772741,0.9358974358974359,0.00013683684282545707,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antihuman (2017),1.0,0.9295774647887324,0.3428571428571429,5.666666666666667,0.5952380952380952,"Directed by Luke Gietzen, Mark Robins. With Anya Korzun, Danielle Arden, Andrew Jardine, Katie Keight. A young woman returns to the secluded, abandoned psychological research facility where her deceased mother once worked. Accompanied by three friends, she discovers that the ghosts of the past have found their way to the present when the hospital's legacy of experimentation and madness tears away all known bounds of time, memory and space.",0.08335868573167021,0.8846153846153846,0.0012912228138134533,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In a Lonely Place (2016),0.8000000000000114,0.4225352112676056,0.41428571428571426,6.2,0.5505952380952381,"Directed by Davide Montecchi. With Luigi Busignani, Lucrezia Frenquellucci. ""In a lonely place"" is about love, about passion, about obsession. Thomas believes that only the knowledge of our identity can defeat death and give immortality to those who own it. This is the great gift of love that he has planned for Teresa, the girl he has always secretly loved. Everything is ready in the big abandoned hotel. He is waiting for her, smiling, illuminated by the light of the ...",0.6072406449650136,0.9358974358974359,0.0024456087848014497,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greatful Dead (2013),0.5999999999999659,0.9154929577464789,0.48571428571428577,6.5,0.5059523809523809,"Directed by Eiji Uchida. With Aira, Itsuji Itao, Yoichiro Kawakami, Kkobbi Kim. Nami is a young woman with numerous hangups sprouting from a dysfunctional childhood. She inherits a small fortune that allows her to pursue various interests, many of which are abnormal.",0.018557955582598113,0.9358974358974359,0.003599994755789446,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wang Fam (2015),0.5999999999999659,0.6338028169014085,0.5571428571428572,8.2,0.5833333333333334,"Directed by Wenn V. Deramas. With Pokwang, Benjie Paras, Andre Paras, Abby Bautista. A family of aswang attempt to transition into a living a more normal, less monstrous life.",0.7657438393672041,0.9358974358974359,0.004754380726777443,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium (2015),0.8000000000000114,0.6338028169014085,0.6285714285714286,3.0,0.4107142857142857,"Directed by Jared Stanton. With Nathan Polzin, Jolene Kay, Taylor Pigeon, Shalaina Castle. Emily has mysteriously returned home to her mother and stepfather, after being missing for over a year - and something came with her.",0.7149376331000913,0.9358974358974359,0.005908766697765439,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8989 Redstone (2016),0.8000000000000114,0.9295774647887324,0.7000000000000001,4.9,0.40476190476190477,"Directed by Jay Chapman. With Eric Allan Kramer, Lindsay Bushman, Frank Ashmore, Clint Brink. Darryl Masters is the host of his own house flipping show, ""Mastering Disaster"", along with his daughter and presumptive heir to his business, Rebecca. As soon as they begin work on their latest project, things start to go wrong, and Darryl is starting to believe that the house is responsible...",0.30240340736233645,0.8974358974358974,0.007063152668753435,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Grow Up (2015),0.5999999999999659,0.26760563380281693,0.7000000000000001,4.5,0.4107142857142857,"Directed by Thierry Poiraud. With Fergus Riordan, Madeleine Kelly, McKell David, Darren Evans. The story about a group of youths who can't face the thought of growing up because anyone who does becomes a rampaging zombie.",0.32217827806510496,0.8076923076923077,0.008217538639741433,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwood (2013),0.19999999999998863,0.9295774647887324,0.7000000000000001,3.1,0.4642857142857143,"Directed by Evan Goldman, Jimmy Scanlon. With Christian Goodwin, Jimmy Scanlon, Michelle Romano, Don Tempesta. After a fatal accident occurs, Nathan Perry is assigned to the Milwood facility for young adults. During his time at Milwood, Nathan becomes a victim of unforeseen terror and unusual behavior.",0.19409796166717372,0.8974358974358974,0.009371924610729429,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dead Matter (2010),0.19999999999998863,0.7183098591549296,0.7000000000000001,3.4,0.5208333333333334,"Directed by Edward Douglas. With Andrew Divoff, Jason Carter, Tom Savini, Sean Serino. Tells the story of a vampire relic with occult powers that falls into the hands of a grief-stricken young woman who will do anything to contact her dead brother.",0.06145421356860359,0.8974358974358974,0.010526310581717425,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mona_Darling (2017),1.0,0.35211267605633806,0.45,5.4,0.5773809523809523,"Directed by Shashi Sudigala. With Anshuman Jha, Divya Menon, Suzanna Mukherjee, Sanjay Suri. A contemporary who-dunnit, with a splash of supernatural, set in a college campus somewhere in India (a la Indian Institute Of Technology) where a few mysterious deaths occur and the only common link between the victims is that, seconds before their deaths, they all accepted a 'facebook friend request' from a certain profile page of Mona_Darling. The person behind the said page, Mona happens to ...",0.07970794037115911,0.9358974358974359,0.005394731607340692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cohasset Snuff Film (2012),0.0,0.9295774647887324,0.2,5.3,0.43452380952380953,"Directed by Edward Payson. With Bill Shafer, Chad Addison, Stu Berg, Becky T. Bordo. In 2009, the small town of Cohasset, Massachusetts was rocked with tragedy. A 17-year-old high school senior named Collin Mason murdered three classmates. All the murders were videotaped and uploaded to the Internet via bit torrent sites and for three days, the world viewed the murders of these three innocent teens. Through legal action, the parents of the victims were able to remove all footage ...",0.12108305445695162,0.8974358974358974,0.0002631526329639612,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
House of Forbidden Secrets (2013),0.19999999999998863,0.9295774647887324,0.2,5.5,0.5119047619047619,"Directed by Todd Sheets. With Lew Temple, Dyanne Thorne, George Hardy, Lloyd Kaufman. Jacob Hunt has had some very bad breaks in life. His wife left him, his friends have all abandoned him, and his children barely see him! Jacob has been given an amazing gift and the chance he needs to get back on his feet and start anew. Jacob has landed the job of overnight security officer at the old ShadowView Manor. It has now been turned into a commercial office and retail building. Jacob is...",0.5874657742622452,0.9358974358974359,0.0002302578959487258,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Scarlett (2016),0.8000000000000114,0.9295774647887324,0.2,5.4,0.45833333333333337,"Directed by Carter Mays. With Natassia Halabi, Troy Adashun, Kevin Flood, Isabelle Gardo. Scarlett, a neglected agoraphobic girl who has lived alone since she was a child, suddenly finds herself pregnant and she has no recollection of how this happened, which tailspins her into a complete mental breakdown. One of her stuffed animal toys, 'Chicken', starts talking to her and she becomes convinced that the toy is the father of her child. As Scarlett's hallucinations grow to an ...",0.7134164891998783,0.8974358974358974,0.00019736315893349032,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granny of the Dead (2017),1.0,0.9295774647887324,0.6000000000000001,3.4,0.42261904761904756,"Directed by Tudley James. With Marcus Carroll, Abigail Hamilton, Oliver Ferriman, William Huw. Regular guy Ed (Marcus Carroll) awakes one morning to find that his Grandmother has become one of the living dead. While trapped in his home Ed tries to survive the day, keep his house zombie free, stay alive and save the day.",0.6276239732278673,0.8846153846153846,0.00016446842191825486,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ErOddity(s) 2 (2015),0.5999999999999659,0.9295774647887324,0.9,4.7,0.48809523809523814,"Directed by Steven Vasquez. With Addison Graham, Grayson Lange, Cory Tyndall, Clay Yearwood. Follows the lives of several gay youths and adults as they discover a world of the odd, the erotic and the supernatural.",0.01064800730149072,0.9358974358974359,0.0001315736849030194,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunger Unholy (2013),0.19999999999998863,0.9295774647887324,0.6666666666666666,7.2,0.32738095238095233,"Directed by Nicholas Holland. With Laura Kriss, Nate Burud, J.T. Taylor, Nicholas Holland. After visiting a funeral, six friends are slowly hunted one by one during their trip up north together as the full moon rises.",0.5737754791603286,0.9358974358974359,2.6310526454265927e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asura (2012),0.0,0.4366197183098592,0.43333333333333335,6.7,0.38095238095238093,"Directed by Kei'ichi Sato. With Tesshô Genda, Megumi Hayashibara, Hiroaki Hirata, Yoshihiro Ike. Abandoned in the barren wasteland of Kyoto, a savage, enraged orphan does whatever it takes to survive in the wild. When he crosses paths with civilization, he must learn to tame the beast within.",0.9218132035290538,0.9358974358974359,0.0007744308311436208,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demon Baby (2014),0.5999999999999659,0.9295774647887324,0.2,3.0,0.34523809523809523,"Directed by Coz Greenop. With Carina Birrell, David Wayman, Cameron Jack, Anya Nixon. A young couple looking to rekindle a damaged relationship retreat to the remote Scottish Highlands. They are haunted by their past, their surroundings and each other.",0.16245816854274414,0.9358974358974359,0.0015225511358329758,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Interior (2015),0.8000000000000114,0.14084507042253522,0.2,4.5,0.40476190476190477,"Directed by Trevor Juras. With Patrick McFadden, Jake Beczala, Andrew Hayes, Delphine Roussel. A listless young man, upon learning he is ill, leaves his job, girlfriend and city behind, and ventures alone into the British Columbia interior, bringing his fears and anxieties with him.",0.7474901125646486,0.15384615384615385,0.0022706714405223306,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bunny the Killer Thing (2015),0.5999999999999659,0.2535211267605634,0.375,4.4,0.45238095238095233,"Directed by Joonas Makkonen. With Enni Ojutkangas, Jari Manninen, Orwi Manny Ameh, Veera W. Vilo. A group of Finnish and British people get stuck at a cabin when they are attacked by a creature that is a half human, half rabbit.",0.3017949498022513,0.3076923076923077,0.0030187917452116856,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innocent Curse (2017),1.0,0.4366197183098592,0.55,5.1,0.5892857142857143,"Directed by Takashi Shimizu. With Daiki Arioka, Hyunri, Mugi Kadowaki, Aoba Kawai. When abused children return after they went missing, their abusers find a mysterious death after 3 days. Local newspaper reporter Shunya investigates the deaths, while his girlfriend Naomi gets too close to one of the haunted children.",0.21813203529053848,0.9358974358974359,0.0037669120499010406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajin Part 3: Shougeki (2016),0.8000000000000114,0.4366197183098592,0.7250000000000001,8.2,0.4821428571428571,"Directed by Hiroaki Andô. With Mamoru Miyano, Mikako Komatsu, Hôchû Ôtsuka, Takahiro Sakurai. With Sato rendered powerless, Kei Nagai hatches a plan. However, before that plan can come to fruition, it already begins to come apart at the seams, as ajin extremists make their move, and Sato's frightful true form becomes known.",0.6188013386066321,0.9358974358974359,0.004515032354590395,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Scream Queens (2014),0.39999999999997726,0.9295774647887324,0.9,5.7,0.375,"Directed by David DeCoteau. With Linnea Quigley, Brinke Stevens, Michelle Bauer, Orel De La Mota. ALEXIS, SYLVIA and ELLEN are a trio of legendary scream queens. After the head of a motion picture studio invites them out to a very special screening in exchange for the possibility of a lead role in an upcoming horror film, the three women slowly become suspicious ... not only of their circumstances, but also each other. They begin to realize that the horrific footage they are watching might be...",0.5947672649832674,0.8974358974358974,0.005263152659279751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Other Side (2014),0.39999999999997726,0.9295774647887324,0.2,3.2,0.5416666666666666,"Directed by Raymond Mongelli III, Chris Niespodzianski. With Chad Conley, Danielle Lozeau, Christine Starkey, Benjamin Sheeler. A man searches for his wife and protects his daughter during the beginning of the zombie apocalypse.",0.17858229388500152,0.9358974358974359,0.0002631526329639612,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Witch (2015),0.5999999999999659,0.9295774647887324,0.2,4.9,0.5059523809523809,"Directed by Joseph Lavender. With Chase Steven Anderson, Mandi Christine Kerr, Josh Sinyard, Christina Pykles. A group of rag-tag paranormal investigators get more than they bargain for when they research an old local urban legend for a disturbed local girl.",0.18436264070581077,0.8974358974358974,5.2626316066454293e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judy (2014),0.39999999999997726,0.4225352112676056,0.2,4.2,0.40476190476190477,"Directed by Emanuele De Santi. With Jade Matthew, Carol Bolt, Ashleigh Whitfield, Orietta Babusci. A team of street performers dragging around a spike crate is terrorising a young woman in her house giving her a private show to the bloody end.",0.3988439306358381,0.9358974358974359,0.000912275443397941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajin Part 2: Shoutotsu (2016),0.8000000000000114,0.4366197183098592,0.34,8.1,0.41666666666666663,"Directed by Hiroaki Andô. With Mamoru Miyano, Mikako Komatsu, Hôchû Ôtsuka, Takahiro Sakurai. The second part in the Ajin trilogy on high schooler Kei, a demi-human with the power of immortality who in the eyes of both the general public and governments, is a rare specimen who needs to be hunted down and handed over to scientists to be experimented on for life.",0.6188013386066321,0.9358974358974359,0.0017719245707294275,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halley (2012),0.19999999999998863,0.5211267605633803,0.48,5.6,0.4285714285714286,"Directed by Sebastian Hofmann. With Alberto Trujillo, Lourdes Trueba, Hugo Albores. Alberto forms an unusual friendship with Luly, the manager of the 24-hour gym where he works as a night guard.",0.024642531183449952,0.3717948717948718,0.002631573698060914,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
